Designation,Web Height (m),Flange Width (m),Web THK (m),Flange THK (m),Cross Sectional Area (m^2),Nominal Weight per m (kg/m),Second Moment of Area Iyy (m^4),First Moment of Area Qyy (m^3),Radius of Gyration ryy (m),Second Moment of Area Izz (m^4),First Moment of Area Qzz (m^3),Radius of Gyration rzz (m),Plastic Modulus Zyy (m^3),Plastic Modulus Zzz (m^3),Torsional Constant J (m^4)
20.000 x 0.500,0.508,0.508,0.011811,0.011811,0.01838706,155.1115173,0.000566075,0.002228632,0.175514,0.000566075,0.002228632,0.175514,0.002900499,0.002900499,0.001132149
18.000 x 0.500,0.4572,0.4572,0.011811,0.011811,0.016516096,139.2030253,0.000409988,0.001786183,0.15748,0.000409988,0.001786183,0.15748,0.002343341,0.002343341,0.000819976
16.000 x 0.500,0.4064,0.4064,0.011811,0.011811,0.014645132,123.2945333,0.000285119,0.001404366,0.139446,0.000285119,0.001404366,0.139446,0.001835344,0.001835344,0.000570237
16.000 x 0.375,0.4064,0.4064,0.0088646,0.0088646,0.011096752,93.21870327,0.000218938,0.001076626,0.140462,0.000218938,0.001076626,0.140462,0.001401089,0.001401089,0.000437043
14.000 x 0.500,0.3556,0.3556,0.011811,0.011811,0.012774168,107.3860413,0.000188553,0.001061878,0.121666,0.000188553,0.001061878,0.121666,0.001396172,0.001396172,0.000377522
12.500 x 0.625,0.3175,0.3175,0.0147574,0.0147574,0.014064488,118.0710715,0.000161082,0.001015994,0.107188,0.000161082,0.001015994,0.107188,0.001353566,0.001353566,0.000322163
12.313 x 0.625,0.3127502,0.3127502,0.0147574,0.0147574,0.013806424,116.2108643,0.000153589,0.00098322,0.10541,0.000153589,0.00098322,0.10541,0.00131096,0.00131096,0.000307595
12.250 x 0.625,0.31115,0.31115,0.0147574,0.0147574,0.013741908,115.5858347,0.000151092,0.000971749,0.104902,0.000151092,0.000971749,0.104902,0.00129785,0.00129785,0.0003026
14.000 x 0.312,0.3556,0.3556,0.0073914,0.0073914,0.0080645,67.93476699,0.000122788,0.000689893,0.12319,0.000122788,0.000689893,0.12319,0.000896369,0.000896369,0.00024516
11.250 x 0.625,0.28575,0.28575,0.0147574,0.0147574,0.01258062,105.6448874,0.000115712,0.000809518,0.096012,0.000115712,0.000809518,0.096012,0.001084819,0.001084819,0.000231425
12.750 x 0.375,0.32385,0.32385,0.0088646,0.0088646,0.008774176,73.8279034,0.000109053,0.000671867,0.111506,0.000109053,0.000671867,0.111506,0.000879982,0.000879982,0.000217689
12.500 x 0.375,0.3175,0.3175,0.0088646,0.0088646,0.008580628,72.33973764,0.000102393,0.000645648,0.10922,0.000102393,0.000645648,0.10922,0.000843931,0.000843931,0.000204786
12.313 x 0.375,0.3127502,0.3127502,0.0088646,0.0088646,0.008451596,71.22361332,9.78144E-05,0.000625983,0.107442,9.78144E-05,0.000625983,0.107442,0.00081935,0.00081935,0.000195629
12.250 x 0.375,0.31115,0.31115,0.0088646,0.0088646,0.00838708,70.83669022,9.61495E-05,0.00061779,0.106934,9.61495E-05,0.00061779,0.106934,0.000809518,0.000809518,0.000192299
10.750 x 0.500,0.27305,0.27305,0.011811,0.011811,0.0096774,81.53660204,8.28301E-05,0.000606319,0.092456,8.28301E-05,0.000606319,0.092456,0.00080624,0.00080624,0.00016566
11.250 x 0.375,0.28575,0.28575,0.0088646,0.0088646,0.00774192,64.88402718,7.40892E-05,0.000517829,0.098044,7.40892E-05,0.000517829,0.098044,0.000680061,0.000680061,0.000147762
12.500 x 0.250,0.3175,0.3175,0.0059182,0.0059182,0.005793537,48.72254701,7.03431E-05,0.000442449,0.110236,7.03431E-05,0.000442449,0.110236,0.000575184,0.000575184,0.000140686
12.313 x 0.250,0.3127502,0.3127502,0.0059182,0.0059182,0.005703214,47.97846413,6.70133E-05,0.000429339,0.108458,6.70133E-05,0.000429339,0.108458,0.000557158,0.000557158,0.000134443
12.250 x 0.250,0.31115,0.31115,0.0059182,0.0059182,0.005677408,47.72547596,6.61808E-05,0.000424423,0.10795,6.61808E-05,0.000424423,0.10795,0.000552242,0.000552242,0.000132362
